n,modo,ordem_criacao,ordem_termino,bateu,inversoes
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,5-4-3-2-1-0-6-7,0,15
8,0,0-1-2-3-4-5-6-7,6-5-4-3-2-1-0-7,0,21
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,14-13-12-11-10-9-8-7-6-5-4-3-2-1-0-15,0,105
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
16,0,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,13-12-11-10-9-8-7-6-5-4-3-2-1-0-14-15,0,91
